SZ002684	猛狮科技	

SH600170	上海建工	

SH601818	光大银行	

SH600307	酒钢宏兴	

SZ000977	浪潮信息	

SZ300346	南大光电	

SZ000006	深振业Ａ	

SZ000605	四环药业	

SZ002647	宏磊股份	

SH600000	浦发银行	

SH603366	日出东方	

SH601933	永辉超市	

SZ300091	金通灵		

SZ000423	东阿阿胶	

SZ002503	搜于特		

SZ002481	双塔食品	

SH600277	亿利能源	

SH601717	郑煤机		

SZ002294	信立泰		

SH600823	世茂股份	

SZ000586	汇源通信	

SH600808	马钢股份	

SH600569	安阳钢铁	

SZ002532	新界泵业	

SH601390	中国中铁	

SH600233	大杨创世	

SZ000932	华菱钢铁	

SH600135	乐凯胶片	

SH600395	盘江股份	

SZ000069	华侨城Ａ	

SZ002016	世荣兆业	

SZ300197	铁汉生态	

SZ002344	海宁皮城	

SZ002164	东力传动	

SZ300253	卫宁软件	

SZ300219	鸿利光电	

SZ002316	键桥通讯	

SZ002672	东江环保	

SZ000788	北大医药	

SH600066	宇通客车	

SZ000002	万  科Ａ	

SH600655	豫园商城	

SH600805	悦达投资	

SZ300319	麦捷科技	

SH600425	青松建化	

SZ000656	金科股份	

SH601789	宁波建工	

SZ000778	新兴铸管	

SH600596	新安股份	

SZ300078	中瑞思创	

SH600325	华发股份	

SZ300011	鼎汉技术	

SZ002154	报 喜 鸟	

SH601633	长城汽车	

SH601800	中国交建	

SZ000672	上峰水泥	

SZ002605	姚记扑克	

SH600007	中国国贸	

SZ002267	陕天然气	

SZ002367	康力电梯	

SH600982	宁波热电	

SZ002181	粤 传 媒	

SZ002508	老板电器	

SH600581	八一钢铁	

SZ000987	广州友谊	

SH600015	华夏银行	

SH600168	武汉控股	

SZ300137	先河环保	

SZ300190	维尔利		

SZ002555	顺荣股份	

SZ300306	远方光电	

SZ000422	湖北宜化	

SZ000732	泰禾集团	

SZ002126	银轮股份	

SZ002352	鼎泰新材	

SZ002586	围海股份	

SH600683	京投银泰	

SZ000043	中航地产	

SZ002420	毅昌股份	

SZ000031	中粮地产	

SZ002224	三 力 士	

SZ002147	方圆支承	

SZ000963	华东医药	

SZ002083	孚日股份	

SH600729	重庆百货	

SH600004	白云机场	

